epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1253,0.57133,1.88095,1.65441,1.13342,0.40792,0.4902,0.44825,0.37452,0.37487,0.45039,0.39259,0.29483,0.60799,2.44519,1.61135,1.21056,0.000144486,0.000144486,0.000144486
46,1280.65,0.5686,1.90387,1.63331,1.12715,0.4519,0.45693,0.45129,0.37753,0.40911,0.43418,0.39433,0.29678,0.60917,2.56201,1.62769,1.22169,0.000141952,0.000141952,0.000141952
47,1308.34,0.5677,1.87131,1.61173,1.12831,0.40805,0.49453,0.45285,0.37997,0.3648,0.45057,0.38011,0.28544,0.59087,2.43232,1.60989,1.20007,0.000139418,0.000139418,0.000139418
48,1336.05,0.56173,1.8648,1.62069,1.12151,0.40004,0.50733,0.45513,0.37846,0.36456,0.46412,0.3969,0.30306,0.60977,2.43622,1.60596,1.22534,0.000136883,0.000136883,0.000136883
49,1363.71,0.55793,1.84844,1.60386,1.12147,0.41955,0.48474,0.46651,0.38903,0.38429,0.44303,0.40105,0.29478,0.60333,2.47215,1.59554,1.21532,0.000134349,0.000134349,0.000134349
50,1391.38,0.56703,1.86191,1.6009,1.13189,0.41517,0.48373,0.46004,0.38279,0.37608,0.45176,0.40357,0.30936,0.60863,2.56728,1.62525,1.23266,0.000131814,0.000131814,0.000131814
51,1419,0.55486,1.82052,1.57043,1.11976,0.44334,0.4739,0.46848,0.39156,0.40692,0.43686,0.40859,0.30504,0.60241,2.44621,1.58129,1.21314,0.00012928,0.00012928,0.00012928
52,1446.71,0.55635,1.83397,1.59152,1.12374,0.46244,0.45433,0.45626,0.38381,0.41376,0.42752,0.39468,0.30405,0.58487,2.48057,1.62223,1.19611,0.000126746,0.000126746,0.000126746
53,1474.37,0.55673,1.82637,1.57551,1.1235,0.43283,0.47556,0.46337,0.39002,0.3926,0.43627,0.39801,0.30273,0.59365,2.49574,1.60022,1.20554,0.000124211,0.000124211,0.000124211
54,1502.08,0.54642,1.81855,1.56475,1.11204,0.41035,0.49008,0.46026,0.38408,0.37346,0.4507,0.39944,0.3008,0.58316,2.46748,1.61028,1.19477,0.000121677,0.000121677,0.000121677
55,1529.76,0.55316,1.7945,1.56033,1.11754,0.39278,0.50413,0.46616,0.39072,0.3553,0.46039,0.40306,0.30406,0.58852,2.45035,1.61131,1.19194,0.000119142,0.000119142,0.000119142
56,1557.44,0.55361,1.79868,1.54392,1.1128,0.45885,0.46368,0.46556,0.38903,0.41933,0.42484,0.40092,0.30771,0.59294,2.5536,1.60151,1.20548,0.000116608,0.000116608,0.000116608
57,1585.11,0.54795,1.78887,1.5389,1.11574,0.44068,0.49086,0.47479,0.40105,0.39826,0.44756,0.4105,0.31171,0.58582,2.48799,1.57996,1.19559,0.000114074,0.000114074,0.000114074
58,1612.72,0.54894,1.77568,1.53534,1.11183,0.42024,0.47818,0.4631,0.38491,0.38809,0.42888,0.40269,0.30492,0.60206,2.56866,1.59659,1.21658,0.000111539,0.000111539,0.000111539
59,1640.49,0.54315,1.72734,1.50509,1.11117,0.45088,0.46221,0.47031,0.39565,0.41217,0.42989,0.41122,0.31257,0.58438,2.5689,1.59272,1.19519,0.000109005,0.000109005,0.000109005
60,1668.16,0.5385,1.77731,1.50087,1.10692,0.44735,0.47097,0.4716,0.39797,0.41299,0.43465,0.41551,0.31246,0.58094,2.49085,1.57518,1.19276,0.00010647,0.00010647,0.00010647
61,1695.86,0.53447,1.75982,1.49771,1.10159,0.43841,0.4836,0.47109,0.39823,0.39814,0.44414,0.40938,0.31059,0.58811,2.56313,1.60139,1.20788,0.000103936,0.000103936,0.000103936
62,1723.51,0.53177,1.74048,1.47414,1.10663,0.42527,0.4988,0.46258,0.39332,0.40502,0.4333,0.39801,0.30355,0.57896,2.53071,1.58829,1.19286,0.000101402,0.000101402,0.000101402
63,1751.17,0.52473,1.7256,1.45607,1.09717,0.44367,0.46057,0.46734,0.39135,0.39725,0.42716,0.40639,0.30954,0.5826,2.59363,1.5904,1.20344,9.88672e-05,9.88672e-05,9.88672e-05
64,1778.74,0.53588,1.75019,1.47259,1.10166,0.43404,0.46359,0.46353,0.39299,0.41489,0.39367,0.40196,0.30621,0.5818,2.566,1.60447,1.19887,9.63328e-05,9.63328e-05,9.63328e-05
65,1806.51,0.53087,1.72375,1.47837,1.10191,0.4309,0.47524,0.46927,0.39446,0.36803,0.4704,0.40748,0.3103,0.57645,2.57476,1.59755,1.18672,9.37984e-05,9.37984e-05,9.37984e-05
66,1834.19,0.52749,1.71613,1.46348,1.09858,0.43529,0.4518,0.45901,0.38633,0.39416,0.41493,0.39814,0.30132,0.57512,2.51482,1.60471,1.18621,9.1264e-05,9.1264e-05,9.1264e-05
67,1861.82,0.5239,1.73822,1.45695,1.09467,0.43003,0.47441,0.46387,0.39102,0.39138,0.43173,0.39861,0.30413,0.58747,2.50302,1.59992,1.19944,8.87296e-05,8.87296e-05,8.87296e-05
68,1889.54,0.52258,1.72192,1.4292,1.09518,0.45718,0.44057,0.46431,0.39366,0.41599,0.3996,0.40314,0.30853,0.58093,2.50473,1.61211,1.19593,8.61952e-05,8.61952e-05,8.61952e-05
69,1917.2,0.52443,1.69759,1.43089,1.09447,0.42424,0.47624,0.47211,0.3971,0.38765,0.4363,0.41042,0.31411,0.58478,2.56991,1.5898,1.19203,8.36608e-05,8.36608e-05,8.36608e-05
70,1944.76,0.52305,1.73019,1.41759,1.09638,0.41496,0.50594,0.48175,0.40396,0.38001,0.46482,0.41967,0.32327,0.5819,2.581,1.57706,1.19671,8.11264e-05,8.11264e-05,8.11264e-05
71,1972.38,0.52283,1.71345,1.39531,1.09561,0.41095,0.5109,0.47767,0.4064,0.373,0.46817,0.41348,0.31851,0.57401,2.57741,1.59074,1.18408,7.8592e-05,7.8592e-05,7.8592e-05
72,1999.98,0.51911,1.69472,1.41942,1.0937,0.4419,0.45437,0.47424,0.39954,0.35144,0.48336,0.41327,0.31798,0.5819,2.53419,1.60081,1.19592,7.60576e-05,7.60576e-05,7.60576e-05
73,2027.58,0.53054,1.71161,1.42402,1.10263,0.43265,0.49138,0.47201,0.39949,0.38829,0.45714,0.40694,0.31337,0.5843,2.59716,1.59916,1.19908,7.35232e-05,7.35232e-05,7.35232e-05
74,2055.16,0.51344,1.6683,1.38074,1.08704,0.46224,0.45092,0.46493,0.39087,0.41075,0.41686,0.40336,0.30637,0.58332,2.55999,1.61726,1.19891,7.09888e-05,7.09888e-05,7.09888e-05
75,2082.87,0.51169,1.69372,1.39138,1.08848,0.41363,0.51162,0.4721,0.39678,0.37829,0.47833,0.41335,0.31425,0.58118,2.54996,1.59554,1.19644,6.84544e-05,6.84544e-05,6.84544e-05
76,2110.41,0.51638,1.6763,1.3918,1.08956,0.43681,0.47075,0.47266,0.39982,0.3788,0.45508,0.41221,0.31441,0.57652,2.54499,1.58725,1.18802,6.592e-05,6.592e-05,6.592e-05
77,2138.07,0.51012,1.65196,1.37929,1.08785,0.40216,0.50937,0.47463,0.40124,0.36826,0.46928,0.41528,0.31588,0.57939,2.56213,1.58064,1.19027,6.33856e-05,6.33856e-05,6.33856e-05
78,2165.76,0.51498,1.65169,1.38557,1.08854,0.43852,0.48796,0.47519,0.40058,0.40009,0.44628,0.41342,0.31499,0.57226,2.55196,1.59885,1.18274,6.08512e-05,6.08512e-05,6.08512e-05
79,2193.5,0.5119,1.65921,1.36161,1.08896,0.4332,0.48556,0.47756,0.4047,0.39504,0.44989,0.41658,0.31965,0.56154,2.55295,1.59152,1.17175,5.83168e-05,5.83168e-05,5.83168e-05
80,2221.11,0.51751,1.66477,1.38802,1.09192,0.45851,0.47013,0.48059,0.40649,0.4163,0.43266,0.41765,0.31925,0.56591,2.55333,1.59682,1.17668,5.57824e-05,5.57824e-05,5.57824e-05
81,2248.63,0.50761,1.63355,1.3521,1.08597,0.42284,0.49266,0.47508,0.4041,0.39504,0.4291,0.41209,0.31651,0.56797,2.56744,1.60653,1.17402,5.3248e-05,5.3248e-05,5.3248e-05
82,2276.31,0.50654,1.65904,1.3597,1.08254,0.45865,0.45162,0.47914,0.40817,0.41189,0.4167,0.41933,0.32196,0.56703,2.5788,1.59054,1.18107,5.07136e-05,5.07136e-05,5.07136e-05
83,2303.92,0.50261,1.62879,1.33902,1.08356,0.42166,0.49463,0.47413,0.40472,0.38807,0.45665,0.41793,0.32053,0.56364,2.6552,1.61796,1.17677,4.81792e-05,4.81792e-05,4.81792e-05
84,2331.5,0.4981,1.64025,1.31805,1.08211,0.41569,0.51767,0.47807,0.40489,0.38168,0.48262,0.41548,0.31891,0.56833,2.60327,1.59138,1.17844,4.56448e-05,4.56448e-05,4.56448e-05
85,2359.05,0.5049,1.6347,1.33431,1.08401,0.43971,0.47889,0.47503,0.40501,0.40682,0.43549,0.41218,0.31689,0.56417,2.62193,1.60342,1.1725,4.31104e-05,4.31104e-05,4.31104e-05
86,2386.71,0.49993,1.62453,1.32688,1.07918,0.40948,0.5029,0.47268,0.40057,0.37414,0.46817,0.41157,0.31501,0.56766,2.64045,1.60307,1.18068,4.0576e-05,4.0576e-05,4.0576e-05
87,2414.44,0.49899,1.60555,1.30976,1.07856,0.41661,0.51572,0.4757,0.40342,0.3828,0.47596,0.41497,0.3165,0.57411,2.62111,1.60702,1.18508,3.80416e-05,3.80416e-05,3.80416e-05
88,2441.96,0.49796,1.61812,1.29618,1.07731,0.40599,0.51267,0.47228,0.40152,0.37051,0.48159,0.41269,0.31363,0.56688,2.59973,1.60383,1.17853,3.55072e-05,3.55072e-05,3.55072e-05
89,2469.58,0.50582,1.60259,1.31725,1.08521,0.42,0.49739,0.47646,0.40583,0.38335,0.45525,0.41776,0.31669,0.56428,2.61654,1.59775,1.1734,3.29728e-05,3.29728e-05,3.29728e-05
