epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,280.459,0.51058,1.63721,0.64091,0.98179,0.92799,0.96119,0.9874,0.9253,0.89198,0.92338,0.94342,0.71392,0.37574,1.19405,0.42918,0.90074,0.000371375,0.000371375,0.000371375
73,284.284,0.52509,1.65513,0.65245,0.99152,0.965,0.96081,0.99087,0.92522,0.94074,0.93078,0.95442,0.7024,0.36267,1.17287,0.4026,0.89413,0.000359,0.000359,0.000359
74,288.038,0.49743,1.55963,0.64065,0.98675,0.96421,0.97327,0.99133,0.92435,0.9279,0.93396,0.94131,0.69194,0.37956,1.20922,0.4009,0.90585,0.000346625,0.000346625,0.000346625
75,291.809,0.5245,1.70278,0.63594,1.00454,0.96013,0.9566,0.99058,0.91932,0.91783,0.9149,0.934,0.69567,0.38451,1.203,0.43217,0.91111,0.00033425,0.00033425,0.00033425
76,295.632,0.52083,1.53,0.63826,0.99567,0.96233,0.9952,0.99337,0.93945,0.92128,0.95326,0.94284,0.71723,0.35011,1.15804,0.37833,0.89131,0.000321875,0.000321875,0.000321875
77,299.474,0.52297,1.61698,0.65083,0.99889,0.9632,0.98312,0.99223,0.93757,0.92572,0.93306,0.94058,0.71111,0.34538,1.15387,0.3648,0.88667,0.0003095,0.0003095,0.0003095
78,303.265,0.51485,1.58869,0.6705,0.99824,0.97864,0.97133,0.99241,0.93516,0.94881,0.94461,0.95932,0.70653,0.35191,1.18004,0.38557,0.88734,0.000297125,0.000297125,0.000297125
79,307.069,0.49949,1.55816,0.61317,0.98511,0.98674,0.98632,0.99442,0.94858,0.95546,0.95479,0.95885,0.71566,0.33155,1.11678,0.33923,0.87283,0.00028475,0.00028475,0.00028475
80,310.852,0.50935,1.62027,0.621,0.9949,0.98167,0.98511,0.99344,0.9464,0.95419,0.95776,0.96353,0.7271,0.32149,1.18672,0.33799,0.87054,0.000272375,0.000272375,0.000272375
81,314.62,0.47746,1.51495,0.59781,0.96417,0.96394,0.99451,0.99347,0.94666,0.94025,0.9662,0.96303,0.73341,0.32445,1.14892,0.34626,0.87415,0.00026,0.00026,0.00026
82,318.452,0.50904,1.51949,0.61937,0.99509,0.9794,0.98818,0.99351,0.94781,0.94401,0.95289,0.95512,0.72983,0.3192,1.1266,0.33344,0.86683,0.000247625,0.000247625,0.000247625
83,322.196,0.48212,1.55026,0.60228,0.97394,0.97789,0.99566,0.994,0.9498,0.94498,0.96243,0.95911,0.73504,0.31647,1.09168,0.32505,0.86402,0.00023525,0.00023525,0.00023525
84,326.056,0.4873,1.5146,0.60201,0.97202,0.99006,0.98999,0.99441,0.9561,0.96013,0.96051,0.96281,0.73049,0.29901,1.09934,0.31761,0.85339,0.000222875,0.000222875,0.000222875
85,329.79,0.47999,1.51303,0.59963,0.98347,0.98818,0.98262,0.9944,0.95648,0.96202,0.95732,0.96712,0.72974,0.30833,1.1146,0.32204,0.85862,0.0002105,0.0002105,0.0002105
86,333.565,0.47626,1.46715,0.5689,0.98658,0.98763,0.98067,0.99388,0.95669,0.96662,0.9494,0.96594,0.73242,0.30452,1.05747,0.31751,0.85298,0.000198125,0.000198125,0.000198125
87,337.305,0.48306,1.53681,0.57573,0.9718,0.97583,0.99248,0.99397,0.96118,0.94688,0.96313,0.96151,0.72883,0.28994,1.05978,0.30572,0.84821,0.00018575,0.00018575,0.00018575
88,341.139,0.46573,1.52378,0.56216,0.97214,0.99357,0.99494,0.99481,0.96158,0.96158,0.96294,0.95883,0.72664,0.29268,1.05156,0.30172,0.84929,0.000173375,0.000173375,0.000173375
89,344.92,0.46576,1.49546,0.53221,0.97139,0.99462,0.99447,0.99485,0.96427,0.96511,0.96518,0.96313,0.73733,0.28507,1.04995,0.29307,0.84558,0.000161,0.000161,0.000161
90,348.715,0.47607,1.49819,0.57207,0.97699,0.99046,0.99464,0.99482,0.96617,0.96407,0.964,0.96163,0.73872,0.28283,1.04719,0.29157,0.84464,0.000148625,0.000148625,0.000148625
91,355.609,0.40935,1.37214,0.55326,0.96895,0.98447,0.99234,0.99445,0.95929,0.95524,0.96297,0.95831,0.73382,0.29845,1.05864,0.32434,0.85391,0.00013625,0.00013625,0.00013625
92,359.319,0.38307,1.2298,0.4551,0.94781,0.98357,0.9882,0.99456,0.95771,0.95215,0.95686,0.9548,0.73344,0.30522,1.06161,0.34171,0.85637,0.000123875,0.000123875,0.000123875
93,363.074,0.37144,1.17233,0.41798,0.94395,0.98935,0.99255,0.99453,0.96435,0.96225,0.96458,0.96273,0.7405,0.28931,1.02226,0.30768,0.84356,0.0001115,0.0001115,0.0001115
94,366.831,0.3501,1.11357,0.3823,0.9174,0.99178,0.9964,0.99462,0.96668,0.96232,0.96683,0.95947,0.74486,0.27867,1.00799,0.29699,0.83768,9.9125e-05,9.9125e-05,9.9125e-05
95,370.573,0.34919,1.1492,0.38727,0.93255,0.99352,0.99679,0.99473,0.96515,0.96622,0.96978,0.96114,0.75018,0.27903,0.98526,0.29606,0.83747,8.675e-05,8.675e-05,8.675e-05
96,374.284,0.33839,1.1418,0.38436,0.89997,0.99524,0.99674,0.99489,0.96984,0.96797,0.96949,0.96129,0.75674,0.26348,0.96805,0.28257,0.82785,7.4375e-05,7.4375e-05,7.4375e-05
97,378.051,0.32977,1.12325,0.36488,0.91476,0.99249,0.99775,0.99493,0.97121,0.96531,0.97043,0.96182,0.75602,0.25745,0.96642,0.27625,0.82483,6.2e-05,6.2e-05,6.2e-05
98,381.791,0.33325,1.09046,0.36145,0.91566,0.99493,0.99775,0.99498,0.97402,0.96761,0.97043,0.9622,0.75719,0.25898,0.96456,0.27335,0.82464,4.9625e-05,4.9625e-05,4.9625e-05
99,385.526,0.32024,1.07908,0.36891,0.9051,0.99461,0.99775,0.99495,0.97336,0.96731,0.97043,0.96214,0.75689,0.25577,0.96009,0.26805,0.82305,3.725e-05,3.725e-05,3.725e-05
100,389.237,0.31556,1.10768,0.35531,0.90585,0.99295,0.99775,0.99491,0.97433,0.9658,0.97043,0.96178,0.75906,0.25132,0.95608,0.26451,0.82087,2.4875e-05,2.4875e-05,2.4875e-05
