epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,3843.17,0.84542,2.43848,2.08545,1.20638,0.49349,0.52109,0.51762,0.40736,0.46481,0.48391,0.46426,0.30898,0.70736,1.95251,1.53269,1.18725,0.004456,0.004456,0.004456
58,3909.72,0.84319,2.42071,2.06331,1.20519,0.52682,0.52545,0.52665,0.41149,0.50416,0.48283,0.47254,0.31111,0.71746,1.93927,1.52118,1.19549,0.004357,0.004357,0.004357
59,3976.38,0.84495,2.4469,2.06991,1.20787,0.53662,0.52636,0.53198,0.41781,0.50742,0.48875,0.47919,0.31451,0.70377,1.93527,1.51239,1.18653,0.004258,0.004258,0.004258
60,4043.32,0.8361,2.43704,2.05864,1.19807,0.53571,0.53095,0.54143,0.42599,0.51605,0.49285,0.48751,0.31917,0.70843,1.93158,1.47734,1.18365,0.004159,0.004159,0.004159
61,4110.11,0.83852,2.41199,2.05421,1.20482,0.54997,0.53479,0.54907,0.43405,0.51896,0.4922,0.49373,0.32552,0.69619,1.90493,1.47422,1.17677,0.00406,0.00406,0.00406
62,4176.78,0.83849,2.39495,2.03239,1.20337,0.53883,0.54782,0.55337,0.43625,0.5102,0.51128,0.49852,0.33049,0.70501,1.89326,1.45798,1.18337,0.003961,0.003961,0.003961
63,4243.2,0.83406,2.40396,2.03273,1.2037,0.53641,0.54626,0.56114,0.44541,0.50751,0.5158,0.51277,0.34065,0.69082,1.86187,1.44446,1.17199,0.003862,0.003862,0.003862
64,4309.96,0.83372,2.38676,2.00949,1.19574,0.565,0.55348,0.56924,0.4524,0.53536,0.51864,0.51571,0.34375,0.68679,1.85017,1.41819,1.16835,0.003763,0.003763,0.003763
65,4376.59,0.81952,2.369,2.00778,1.18889,0.53014,0.55681,0.57224,0.45745,0.50203,0.52381,0.52162,0.34507,0.68296,1.8364,1.41709,1.16673,0.003664,0.003664,0.003664
66,4442.97,0.82302,2.35219,1.99272,1.1949,0.57754,0.55858,0.58128,0.46856,0.54958,0.52676,0.53109,0.35544,0.67149,1.82041,1.38656,1.15487,0.003565,0.003565,0.003565
67,4508.97,0.81723,2.36511,1.98634,1.18721,0.59612,0.55563,0.59319,0.47818,0.57051,0.52006,0.54007,0.3648,0.66836,1.81334,1.37047,1.15339,0.003466,0.003466,0.003466
68,4575.05,0.81828,2.35716,1.96831,1.18863,0.58131,0.5574,0.59929,0.48688,0.55509,0.52575,0.54936,0.37159,0.66054,1.79214,1.35599,1.14785,0.003367,0.003367,0.003367
69,4641.08,0.81673,2.33404,1.94228,1.18714,0.57958,0.56948,0.60459,0.49353,0.564,0.52829,0.55558,0.37493,0.65289,1.78193,1.3427,1.14105,0.003268,0.003268,0.003268
70,4706.89,0.81141,2.3207,1.95116,1.18671,0.59923,0.57925,0.61197,0.4996,0.57939,0.54516,0.56404,0.38053,0.64724,1.75242,1.31689,1.13588,0.003169,0.003169,0.003169
71,4772.89,0.80563,2.30633,1.94373,1.17928,0.60226,0.58444,0.61726,0.50647,0.58359,0.55297,0.57112,0.38744,0.64382,1.74662,1.30594,1.13341,0.00307,0.00307,0.00307
72,4839.06,0.7997,2.28672,1.93111,1.1795,0.59655,0.58045,0.61986,0.51047,0.56997,0.55113,0.57292,0.38928,0.63897,1.73943,1.29834,1.12911,0.002971,0.002971,0.002971
73,4905,0.80396,2.30533,1.93325,1.17956,0.60796,0.58163,0.62569,0.51832,0.58145,0.55299,0.57843,0.39417,0.63196,1.72932,1.28318,1.12331,0.002872,0.002872,0.002872
74,4971.08,0.79338,2.27168,1.90456,1.17505,0.63734,0.58506,0.63575,0.52582,0.60505,0.55724,0.58744,0.4003,0.63093,1.71089,1.27018,1.12209,0.002773,0.002773,0.002773
75,5036.87,0.79119,2.29699,1.9132,1.17359,0.62285,0.60061,0.64427,0.53358,0.60689,0.56159,0.59552,0.40487,0.62319,1.70634,1.25638,1.11623,0.002674,0.002674,0.002674
76,5102.71,0.78631,2.25748,1.8585,1.16313,0.64184,0.59719,0.65252,0.54266,0.61471,0.56899,0.60354,0.40932,0.61742,1.69736,1.23941,1.11386,0.002575,0.002575,0.002575
77,5168.58,0.78559,2.26003,1.88467,1.1715,0.65673,0.59455,0.65519,0.54438,0.62982,0.56418,0.60648,0.41327,0.61636,1.68293,1.22786,1.11404,0.002476,0.002476,0.002476
78,5234.52,0.78501,2.23382,1.85259,1.16268,0.65756,0.60366,0.6607,0.55195,0.63352,0.57445,0.61301,0.42103,0.60816,1.66566,1.2201,1.1076,0.002377,0.002377,0.002377
79,5300.42,0.78111,2.24198,1.85953,1.1647,0.65016,0.61776,0.66683,0.55751,0.62866,0.58626,0.61789,0.42563,0.60693,1.65534,1.20917,1.10437,0.002278,0.002278,0.002278
80,5366.48,0.77198,2.20529,1.83503,1.15982,0.65826,0.61486,0.67476,0.56591,0.63227,0.58718,0.62624,0.43171,0.60374,1.64614,1.19105,1.10059,0.002179,0.002179,0.002179
81,5433.04,0.76731,2.20456,1.83905,1.15508,0.65576,0.61057,0.67652,0.56812,0.63759,0.57882,0.62749,0.43396,0.60141,1.64078,1.1882,1.09699,0.00208,0.00208,0.00208
